causality_from,causality_to,weight
hlthhmp,stfedu,0.2345010632679071
hincsrca,trstprl,0.23445218314930868
clsprty,mainact,0.23436935457574556
sclmeet,edulvlpb,0.23409034849436658
aesfdrk,sclmeet,0.23399119169168964
rlgdnm,stfedu,0.23351859083138446
hswrkp,rtrdp,0.233201182094912
occm14b,pplfair,0.23300007418324992
mainact,rlgdnm,0.23261755742935758
emplrel,dscrgrp,0.23253878445992437
dscroth,wrkctra,0.23240345874202537
emprf14,marsts,0.23185711149121196
trstlgl,trstprt,0.2318482584221167
crpdwkp,marsts,0.23153554289094894
hinctnta,emplrel,0.23149769711956852
occm14b,mnactic,0.23092367830658408
mnactp,trstep,0.23077997850829476
imueclt,estsz,0.23063051524600048
estsz,marsts,0.2300830237001851
polintr,trstprl,0.22985199841692258
health,mainact,0.2292661854587928
occm14b,stfedu,0.22893475053065598
domicil,hincfel,0.22874634971472574
dngnapp,chldhhe,0.22849280376864944
wrkctra,wkdcorga,0.2284404287360317
emplrel,dngoth,0.2283834691323049
occm14b,uempla,0.22791740265025254
eisced,edctnp,0.22762825356042427
mnactp,maritalb,0.22711412944816883
dscroth,rshpsts,0.2266471043582565
dscroth,hswrk,0.2260131950618926
sclmeet,mnactp,0.22568173917846748
jbspv,trstun,0.22542226733179438
imdfetn,emprm14,0.22512057592895124
nacer2,hswrk,0.22503671468481526
mnactp,mbtru,0.2250062796031275
mainact,rtrdp,0.22466935579502706
crmvct,estsz,0.22459784306791836
dscroth,stfedu,0.22459316779328736
pdwrk,rtrdp,0.22416399814313095
stfgov,aesfdrk,0.22416271695631765
mnactp,stflife,0.22412572515322074
sclmeet,rshpsts,0.22383441468634235
occf14b,rlgdnm,0.22381658581937047
stfeco,stfedu,0.22337830321355068
stfgov,dscrrlg,0.22332795909616213
mocntr,stfgov,0.2229125425642176
polintr,rtrdp,0.22262269237547633
dscrsex,domicil,0.22250280938810058
emplrel,edctnp,0.2223144212329634
mnactic,imueclt,0.2221715457959445
crmvct,rtrdp,0.2221262220281851
hinctnta,edulvlpb,0.22187843257547143
iorgact,estsz,0.22167183780193678
hincfel,mnactic,0.2215496593539577
dngnapp,edctnp,0.22154178081057438
emprf14,domicil,0.2212038966035819
emprf14,sclmeet,0.22105435494919384
mainact,uemp12m,0.2207003059273841
dsbldp,hincfel,0.2206345794952952
jbspv,marsts,0.22048223428508795
hswrk,rtrdp,0.22041875521476356
emprf14,estsz,0.22038841055924924
imbgeco,emprm14,0.22037056659765514
hincfel,marsts,0.21959161364020313
crmvct,stfhlth,0.21921348146766112
pdjobev,bctprd,0.21908159407095604
sclmeet,rlgdnm,0.21884898572924769
trstplt,trstlgl,0.21857071226359437
imwbcnt,stfedu,0.2185696797838475
emplrel,dscrrlg,0.21843027277962285
crpdwkp,uemplip,0.21841686580619066
imbgeco,bctprd,0.2183837016282491
jbspv,uempli,0.21804856406358597
imbgeco,iorgact,0.21800676860200185
trstprl,hincsrca,0.2179504336286845
hinctnta,pplfair,0.2178135654716757
dscrrlg,dscretn,0.21750172500375647
hincsrca,stfgov,0.2172731180885814
wrkctra,mainact,0.21723466997462904
trstplt,stflife,0.21717153676749523
hincsrca,marsts,0.21716082550115326
hincsrca,pplfair,0.21714532581500354
mocntr,dngoth,0.21681026818320265
wkdcorga,pplfair,0.21676829078762233
mnactic,stfgov,0.21668560063987818
mainact,aesfdrk,0.21661746197474516
uemp12m,stfhlth,0.21660109053825288
uempli,uemplap,0.21658362765660508
hincsrca,edctnp,0.21651788780832287
jbspv,stfdem,0.21623017371697212
lvgptnea,uemplap,0.21576016917512034
freehms,trstep,0.21575396615747433
mnactp,hincsrca,0.2156082426271721
mainact,occm14b,0.21541082812717524
wkdcorga,imwbcnt,0.21524647921472168
freehms,mainact,0.21487337297131856
crpdwk,dngoth,0.2148588105917491
trstep,nacer2,0.21482125011934988
dsbldp,rtrdp,0.2146727562228914
trstplc,iorgact,0.2145633916316769
eisced,trstun,0.21454200131028978
crmvct,stfeco,0.21436655477860983
occf14b,tporgwk,0.21436474497878705
uempli,pplfair,0.21432257349576997
trstplc,wrkctra,0.21427998108341853
eiscedp,occf14b,0.21403448309503667
occm14b,hinctnta,0.21359920684069575
wkdcorga,rtrdp,0.21346745389952615
nacer2,stfdem,0.21340582232319008
trstplc,nacer2,0.213261846898481
uemplap,impcntr,0.2131868647989637
eiscedp,stfhlth,0.21300959364676333
mainact,freehms,0.21291298950966048
nacer2,rlgdnm,0.21287073178943194
pplfair,pplhlp,0.21274915953766926
stfedu,mnactp,0.21271235811758238
wkdcorga,polintr,0.21264824096776522
rlgdnm,emplrel,0.21257642386097889
lvgptnea,emprm14,0.21253501377175402
occm14b,wrkctra,0.21230018828561353
emplrel,happy,0.21220772583403263
trstprl,iorgact,0.21214743997072807
emprf14,pplfair,0.21204931213626702
facntr,eisced,0.21193172082281608
happy,edctnp,0.2116907299038463
stfgov,eiscedp,0.21168667931381682
trstprt,stfgov,0.2115587008335717
uemp12m,rlgdnm,0.2115073723826364
sclmeet,trstplc,0.2114212502671
atncrse,domicil,0.21126202206801548
trstep,emprf14,0.211164881329726
edulvlpb,occf14b,0.21091815231081174
jbspv,dscrrlg,0.2108569535513286
stfeco,estsz,0.2107637521719986
mnactp,rshpsts,0.2107569110521032
uemp3m,emplrel,0.21066944478490146
stfhlth,dngnapp,0.21007515696785026
mainact,dngothp,0.2099910325251556
mbtru,rshpsts,0.2099874942005397
uemp12m,stfedu,0.20997034790849248
jbspv,domicil,0.209889652927187
occf14b,happy,0.20932825875196207
sclmeet,rtrdp,0.2092390472578631
emplrel,dscretn,0.2091490445822015
aesfdrk,estsz,0.20907424704239821
edctn,dscrdsb,0.2090199669379436
emprf14,rshpsts,0.20889676479999797
wkdcorga,emprelp,0.2088644401061643
rshpsts,stfdem,0.20879296647430212
emprelp,pplfair,0.20878250148670516
tporgwk,pplfair,0.2085578280170472
uemp12m,facntr,0.208466664927762
occf14b,stflife,0.20839308517189
occm14b,polintr,0.20834178109706633
wrkac6m,crmvct,0.20833926244360457
occm14b,dscrntn,0.20830247443094504
lvgptnea,stfhlth,0.2082939688070371
estsz,mainact,0.20829093399213983
wrkctra,freehms,0.20821009569004528
aesfdrk,stfdem,0.20791529874617187
atncrse,uemp12m,0.20786225353964652
uemp12m,aesfdrk,0.2078312794239337
rtrdp,dscrdsb,0.20771136319414268
mnactp,rlgdnm,0.20763387055282187
dscrgrp,edctn,0.20760068193326114
dscroth,occm14b,0.20722505319464657
clsprty,trstplt,0.20720623608984612
domicil,rtrdp,0.20708329757490268
uemp12m,stflife,0.20705445937714384
trstplt,wrkac6m,0.2069834474191603
uemp3m,dscrdsb,0.20691371846728024
trstep,trstun,0.20685999532596577
iorgact,stfedu,0.2068483822325421
trstplt,dscrrce,0.20670392850652639
atncrse,mainact,0.2061305921648079
dscrgnd,edctnp,0.20610912959590025
dscrgnd,uemp3m,0.20605885626476228
mnactp,marsts,0.20603205729322038
uempla,impcntr,0.20602398108037623
trstplc,mnactic,0.2058182761443192
stfdem,stfgov,0.20575427595976192
estsz,dngoth,0.20548116645264133
emprm14,dscrrce,0.20524800515679426
pplhlp,trstprl,0.20508842261008917
stfhlth,freehms,0.20502217956072558
wrkctra,happy,0.2050218222093218
occm14b,dscrrlg,0.2050176175121901
jbspv,dngothp,0.2050008560284724
health,emplrel,0.20489224895392594
stfgov,trstlgl,0.204867548434232
emprm14,emplrel,0.2046190323677294
nacer2,iorgact,0.20455770161623124
trstplc,occm14b,0.2045236592068194
hinctnta,mnactp,0.20440458626898858
uempli,dscrdsb,0.20424709056699275
emprf14,imwbcnt,0.20413942496632542
mnactp,freehms,0.20323313926507786
dscrrlg,dscrlng,0.2029928241909583
rtrdp,dngothp,0.2029698826726173
hincfel,dsbld,0.20285459733877875
dscroth,hswrkp,0.2025412620633097
uempla,trstprl,0.20246463284788457
dscretn,edctnp,0.2024150617772364
rlgdnm,rtrdp,0.20231800043331927
lrscale,edulvlb,0.20215307740662514
facntr,occm14b,0.20198345150654104
mainact,dscrrlg,0.20178614045867715
pplfair,sclmeet,0.2017567910758419
occm14b,pplhlp,0.20154410737775075
lrscale,trstplt,0.2014598220089563
iorgact,mainact,0.20130218290541355
uempli,polintr,0.2012290363533939
mbtru,lrscale,0.20109658245243578
uempli,emplrel,0.2010599005508886
uemp12m,rtrd,0.20101347606672623
maritalb,trstplt,0.200616600642693
trstlgl,pplfair,0.20055511297417322
dscroth,stfdem,0.20054666484998293
uempla,dscrdsb,0.20053431034347322
eiscedp,estsz,0.2004702444335963
domicil,rshpsts,0.2003953183177795
stfgov,estsz,0.20013745788992282
edctnp,emplrel,0.19999849837861253
mnactp,hinctnta,0.19999636511614147
eiscedp,emprm14,0.19999574172028037
occm14b,dsbldp,0.19996374834018169
dscroth,freehms,0.19991999665166185
tporgwk,stfedu,0.199838638928572
hinctnta,emprf14,0.19983782170456063
mocntr,uemp3m,0.19979715979848534
emprf14,stfedu,0.19936124086408347
imbgeco,sclmeet,0.19929122201101773
clsprty,hincfel,0.19923510803880803
crpdwkp,dscrntn,0.1990098038393118
hinctnta,trstep,0.19896387365578933
occm14b,edulvlpb,0.19884325260831257
dscrsex,stfhlth,0.1986690924562466
mainact,hincsrca,0.19864523608252796
impcntr,imdfetn,0.1985257158843841
mnactp,edctnp,0.19846315654605945
rshpsts,trstun,0.198424606586635
dscrgrp,aesfdrk,0.19830101887739535
stfhlth,dscrgrp,0.1981663764937983
wkdcorga,dscroth,0.19805097247198283
nacer2,wkdcorga,0.19804704540819518
clsprty,freehms,0.19786377115952775
edulvlfb,pplfair,0.19780334684394899
rlgblg,health,0.19755214353801126
uemplip,stfhlth,0.19735099302154202
imdfetn,stfgov,0.1973101869494268
edulvlpb,dscrdsb,0.19724274570756306
mnactic,imwbcnt,0.1971934686092174
stfgov,stfedu,0.19692868302652924
health,crpdwk,0.1968212309657978
trstplt,dscrrlg,0.19672839315607973
aesfdrk,bctprd,0.1966524203798834
rlgdnm,dscrdsb,0.19661508482121284
edulvlb,dscroth,0.19659936287209745
lrscale,rshpsts,0.19643937107836942
uemp12m,pdwrk,0.19564824871633946
stfedu,domicil,0.19559493823027924
sclmeet,mainact,0.19555820520535916
occf14b,estsz,0.19550062458621154
lvgptnea,stfedu,0.19548004148858114
imueclt,rshpsts,0.1954698844053992
stfedu,uemp5yr,0.19528661424258717
dscrrlg,pplfair,0.19493843354907336
lvgptnea,emprf14,0.19488275813121397
iorgact,happy,0.19473229453621896
emprm14,uemp5yr,0.19448697000061443
occm14b,edctnp,0.19443298174544305
emprf14,health,0.1942759903551042
occm14b,domicil,0.19418915954774552
imueclt,stfgov,0.19412974724949422
jbspv,wkdcorga,0.19408135130234683
health,rlgdnm,0.19400693761342616
polintr,rshpsts,0.19397186994510027
dscrsex,wkdcorga,0.19377465285946743
uemp12m,happy,0.19374432506977127
eiscedp,happy,0.19352415923689095
estsz,trstun,0.1933114628010708
emprf14,mnactp,0.1932876982522808
occm14b,rlgdnm,0.19322933892549285
crpdwkp,bctprd,0.19293933270146316
atncrse,bctprd,0.19285331786894
clsprty,wrkctra,0.19282207115668187
uemp3m,eisced,0.19279145842181886
trstep,hincsrca,0.19277980298921657
emprelp,dsbldp,0.192761741273478
stflife,trstplt,0.1926012191512171
pdwrkp,uemp3m,0.19246961152716635
maritalb,stfhlth,0.192460079060243
rtrd,hincfel,0.192205984998346
sclmeet,dscrrlg,0.1922024159905296
marsts,mainact,0.19214249694784055
uemp12m,dscroth,0.1920501855057788
stfhlth,edctnp,0.19198427751663405
freehms,rlgdnm,0.19197240692781353
uemplap,rlgdnm,0.19196665090780932
dscrrlg,wrkctra,0.19192466461679403
imsmetn,emprm14,0.1918972651529219
trstun,occf14b,0.19185436533672287
trstep,imueclt,0.19182169506757146
nacer2,pplhlp,0.19167782401955036
trstprt,mnactp,0.19152230188962685
hswrk,imdfetn,0.19150180916761855
lrscale,hincsrca,0.19148028287751057
rshpsts,trstplc,0.19140996729338966
eiscedp,dscrdsb,0.19110662842837217
wrkctra,rtrdp,0.19107483416565024
lvgptnea,iorgact,0.19104724994463007
eisced,imueclt,0.19074983965154352
hlthhmp,marsts,0.19074119465646922
emprf14,imbgeco,0.1907066489160888
impcntr,lvgptnea,0.190649411585261
uemp12m,hincfel,0.19054761494844927
uemplip,bctprd,0.1903600936353143
emprf14,stflife,0.1900916300730554
mbtru,mnactp,0.19008559278821086
emprf14,trstplt,0.1899080163672192
wrkctra,occf14b,0.18957650675501375
eiscedp,eiscedm,0.18957264119445144
freehms,mnactp,0.1894941888796829
stfgov,edulvlmb,0.1893870316831666
pplhlp,stfgov,0.18928087672817168
polintr,trstplc,0.18919138653006512
pdwrkp,chldhhe,0.18918277258933427
lrscale,uemp5yr,0.18909292987027868
rshpsts,uemp12m,0.18907837030861324
uempli,stfhlth,0.18902135023323877
iorgact,imueclt,0.18899243615797257
hlthhmp,trstplt,0.18889593721528664
estsz,sclmeet,0.18885578551330712
lrscale,maritalb,0.188768371469467
marsts,eisced,0.18870075588348795
stfgov,rlgdnm,0.18862951493077676
impcntr,emprf14,0.1885481576198501
pdwrk,emprm14,0.18850887504691205
eiscedp,hswrkp,0.18836629670377866
crmvct,edctn,0.18835924724133962
jbspv,lrscale,0.1882010233710114
uemp5yr,jbspv,0.18813980474483813
emprf14,emplrel,0.18813053581975822
rtrdp,trstun,0.18786833030648376
hinctnta,hincfel,0.1878232423213313
jbspv,sclact,0.18769747935736186
stfedu,rtrd,0.18763612872671998
emprf14,mnactic,0.18758888444269273
wkdcorga,dscrdsb,0.1874955572121926
emprf14,rlgdnm,0.1874637854857632
lvgptnea,mocntr,0.1872892954696247
dscrrlg,dscrrce,0.18725553094213115
occm14b,wrkac6m,0.18723170747860968
trstplt,rtrdp,0.18721525081887058
dscrdsb,mocntr,0.18716019719106392
stfdem,bctprd,0.1871310122724974
mbtru,ctzcntr,0.18711308796854784
nacer2,hincsrca,0.18679931505987196
iorgact,rlgdnm,0.1867241480555218
stfgov,dscrdsb,0.18668491794631692
stfhlth,dscrrlg,0.18651623080932384
aesfdrk,wkdcorga,0.1864595726857062
edulvlb,estsz,0.18642320247905067
stfedu,trstprt,0.18638707308657743
freehms,imwbcnt,0.18638023279025778
trstlgl,trstun,0.18631085271856437
pplfair,stflife,0.18630052243032288
imueclt,dscrrlg,0.18618904398990102
edctn,stfhlth,0.1861697390557578
imsmetn,happy,0.18603628421514368
eiscedp,trstplc,0.18597282733853837
stflife,pplfair,0.18578672604620847
bctprd,rshpsts,0.18562459879602175
nacer2,hswrkp,0.185559443062127
dscretn,stfhlth,0.18551588705256838
dvrcdeva,edulvlb,0.1853813697439063
clsprty,stfgov,0.18535373845828265
emprf14,iorgact,0.18532548180837627
stfgov,dscrntn,0.18531542624524344
domicil,rtrd,0.1853069927289362
rtrd,crpdwkp,0.18528264363786992
freehms,pplhlp,0.18525262285526226
crpdwkp,lrscale,0.1851898654128854
dscrrlg,imwbcnt,0.18518309408066108
maritalb,happy,0.18517990253893837
rshpsts,rlgdnm,0.18506168315423177
mbtru,happy,0.18500810657766864
freehms,emprm14,0.18490485245348454
lvgptnea,mbtru,0.1848304895953956
imbgeco,pplhlp,0.18482654455170316
dscrgnd,stfhlth,0.18482197313913445
atncrse,stfhlth,0.18481259488345597
lrscale,crpdwkp,0.18481202958660248
pdjobev,mocntr,0.1847990161937059
chldhhe,rlgdnm,0.18476628685003865
nacer2,mnactp,0.18466612147068517
wkdcorga,mnactp,0.1846335070248277
hinctnta,trstplt,0.18456398467481494
uemp12m,wrkac6m,0.18437862011622025
stfdem,sclmeet,0.18432731182613482
maritalb,dscrrce,0.18430698307085522
imbgeco,trstprl,0.1842820733099884
edulvlfb,hincfel,0.1842801201548205
imwbcnt,happy,0.18413505267212044
pplhlp,stfedu,0.18412288843618246
dscroth,rtrdp,0.18395735937997404
imueclt,mainact,0.18393491358151182
marsts,dngnapp,0.18383874469676265
hincsrca,mnactp,0.18382933629553944
emplrel,dscrntn,0.18382139762896726
emprf14,emprelp,0.18380548192560933
sclact,trstprl,0.18379266028144275
maritalb,stfeco,0.18375113422397915
mainact,dscretn,0.1837319874109706
sclmeet,domicil,0.18365644118644067
tporgwk,eiscedp,0.18363631687137455
mainact,mnactp,0.18362902523605387
maritalb,polintr,0.18351192901793378
emprelp,hincfel,0.18335883057768262
dscrrce,domicil,0.18326278707061638
jbspv,stfgov,0.18310681432725365
trstep,mainact,0.1830165093275093
sclmeet,edctnp,0.18295342420727012
mnactic,dngothp,0.1829209580920012
stfdem,rshpsts,0.18287372732169216
estsz,mnactic,0.18280676187572212
sclact,trstplt,0.18272909448244526
happy,aesfdrk,0.18265138062107472
hincsrca,dvrcdeva,0.1825974118748347
hincsrca,trstplc,0.1825961057434949
hswrkp,health,0.18257927956099196
hincfel,wrkctra,0.18255660422553124
imbgeco,nacer2,0.1825259207869963
stfgov,emprm14,0.18251746951110814
maritalb,trstprt,0.18249106456837116
bctprd,edctnp,0.18233140841310383
edulvlb,mocntr,0.18230360467172518
emplrel,mnactic,0.18229361357337404
pplhlp,health,0.18219472201530879
stfgov,stfhlth,0.18219115321320292
imwbcnt,uemp12m,0.18218863371742514
estsz,domicil,0.1821579237642727
stfedu,uempli,0.18201036195839426
occf14b,sclmeet,0.1819802551667625
uemplap,uempla,0.1817714598102111
edulvlfb,trstplc,0.18174346180062456
dscretn,estsz,0.1816049862791512
wrkctra,stfdem,0.18154764209712487
dscretn,pplfair,0.18148384222842368
impcntr,wkdcorga,0.18138011757264647
wrkctra,imwbcnt,0.1813082602643291
mnactic,rtrdp,0.18127336740162325
uempli,dsbldp,0.18122986124251383
imbgeco,rlgdnm,0.18117672740549967
hswrk,tporgwk,0.18102170109123
rtrd,dscrlng,0.18095254811237643
pplfair,wrkctra,0.18095118854826064
jbspv,rtrd,0.18094664067234903
dscretn,sclmeet,0.18090715128151535
hincsrca,dngnapp,0.18077846261004513
dscrrlg,domicil,0.1807546504668455
domicil,dvrcdeva,0.1807326009427573
emplrel,domicil,0.1806858126473718
aesfdrk,dscrdsb,0.18051293191076112
emprelp,uempla,0.180486014437918
dngoth,occf14b,0.18028120953761312
dvrcdeva,crmvct,0.1799979808374777
hincfel,stfedu,0.1799217161216189
eiscedf,stfgov,0.17991127855585873
stfeco,rlgdnm,0.17979170584476384
polintr,occm14b,0.1797623506079093
mnactp,eiscedp,0.1797368448520164
hswrk,stfgov,0.17973658310007895
pdjobev,trstplt,0.17971648096111548
uemplip,imueclt,0.17969203933152078
happy,iorgact,0.17965897936844646
uemp3m,estsz,0.17942362619850866
mnactp,trstplt,0.17929620214575537
rtrdp,stflife,0.17927276265844672
uemp12m,emplrel,0.179176945549803
trstlgl,occm14b,0.17915960814714815
dscretn,dscrdsb,0.17911278501712252
edulvlmb,trstprt,0.17905890400413166
emprm14,trstprt,0.17901848812039736
dsbldp,dscrrlg,0.1789789060389072
sclact,stflife,0.1789656757385257
emprelp,dvrcdeva,0.17893026694520192
emprelp,wkdcorga,0.1788536322389643
imwbcnt,mainact,0.17880379911206196
stfedu,sclmeet,0.17876439856174298
pdjobev,atncrse,0.1787313635319303
uempli,dscretn,0.17863977355198027
iorgact,ctzcntr,0.17861615301132192
imueclt,sclmeet,0.1786159490469905
mocntr,emprf14,0.17855737691074014
iorgact,pplfair,0.17853711332085392
iorgact,emprelp,0.17852789589719276
uemp12m,dscrgrp,0.1785171238709092
dscrsex,dscrdsb,0.178481735005573
bctprd,estsz,0.17846396992639912
occf14b,hswrk,0.17843821304551832
emprf14,dscroth,0.17842194327301075
uemp3m,mainact,0.17838030182442108
pdjobev,trstplc,0.1783663586399383
edulvlfb,dscrgrp,0.17833170571357848
dscroth,aesfdrk,0.17830257336938515
maritalb,imwbcnt,0.17829626597237272
trstlgl,nacer2,0.17828033239298194
crpdwk,occm14b,0.178256153145935
crpdwkp,stflife,0.17821827072790875
stfgov,wrkac6m,0.17820763483548754
eisced,occm14b,0.17818011406013884
crpdwkp,dsbldp,0.1781441345590658
tporgwk,trstprl,0.17813672575687794
uemplip,dscrdsb,0.1778165802823198
mnactp,hincfel,0.1777839981100864
stfgov,eiscedm,0.17775746294479486
marsts,estsz,0.17770491634406357
uemp3m,uemplip,0.1776489220053418
marsts,trstprl,0.17758762562965774
uemp12m,sclmeet,0.1774854191236827
trstplc,pplfair,0.17742874979311962
marsts,happy,0.1774142558710978
stfgov,rtrdp,0.17738245160396887
mnactic,occm14b,0.17733081295054853
sclmeet,mocntr,0.17727445448167817
wkdcorga,estsz,0.1772638466459916
happy,estsz,0.1771149038503345
rshpsts,edulvlb,0.17708954806297453
sclact,stfgov,0.17706370178920486
dscretn,dngnapp,0.17704801832625744
stfeco,imdfetn,0.17689937957806898
nacer2,mainact,0.17688172221355386
nacer2,pdwrkp,0.1767217924609796
hincfel,emplrel,0.17667552672258563
eiscedp,clsprty,0.17664726342258436
crpdwk,mnactp,0.1765714181201099
trstep,sclmeet,0.17652938481125036
domicil,dngoth,0.1764363402255012
dscrrce,edctnp,0.17643553186535577
marsts,bctprd,0.17640681984703172
edulvlfb,dscrsex,0.17636062030524835
health,hincfel,0.17632371223443455
uemp12m,nacer2,0.17629288892779288
uemp3m,pplfair,0.1762463721302856
mnactp,wkdcorga,0.17623661016150016
hswrkp,mocntr,0.1762270958140694
crmvct,marsts,0.1762157250224044
dngnapp,stfedu,0.17614699723717273
trstprl,trstun,0.17603491452002507
emprf14,dngnapp,0.17587766829370002
stfeco,emplrel,0.17576890025649863
sclmeet,eiscedm,0.1757438560982026
rlgdnm,mainact,0.1757426592550674
uemp12m,marsts,0.17573974895079503
uemp5yr,dngnapp,0.17573810826019962
dvrcdeva,mainact,0.17571374049930327
emplrel,hswrkp,0.17561294580291753
uemplip,imdfetn,0.17558402085271635
polintr,dngoth,0.17552902533040723
edulvlfb,hincsrca,0.17542284857505097
lvgptnea,dscretn,0.1753167031574048
nacer2,stfhlth,0.1752961062070231
pplhlp,estsz,0.17523397172430183
dscrrlg,jbspv,0.17523262517200391
dscrrlg,edulvlpb,0.17511747841953496
nacer2,imueclt,0.1750416572944917
imbgeco,dscrrlg,0.17502145284874127
wrkctra,rshpsts,0.17495980751621482
hinctnta,mocntr,0.17495173547731593
sclmeet,hinctnta,0.17484013471897705
trstep,stfhlth,0.17479778754592243
dscrrlg,occm14b,0.1746954669873782
emprelp,mainact,0.1746870586713613
eiscedm,pplfair,0.17466970211952
rshpsts,trstprl,0.17464656035037582
hswrkp,pplfair,0.17461840868734418
sclmeet,maritalb,0.1745429202476083
dscrrlg,freehms,0.174454463392474
hincfel,trstplc,0.17443590386579344
edctn,health,0.1743445021030109
pplfair,mnactp,0.1743225111834964
happy,trstplt,0.17432246819632383
wkdcorga,jbspv,0.17429650913298367
mnactp,crpdwk,0.1742867748615333
estsz,uemp12m,0.17423166044087623
maritalb,trstplc,0.1742136447192199
nacer2,domicil,0.17420186208387678
hincfel,stfhlth,0.17419225036902214
mbtru,rlgdnm,0.17415877308343955
marsts,dscrdsb,0.1740146178645904
mocntr,stfeco,0.1739379982561401
rtrd,rlgdnm,0.17388328830212127
dscrsex,pplhlp,0.17386076931549982
dvrcdeva,stfgov,0.1737718982267097
sclact,mnactp,0.17375257265270863
crpdwkp,trstplt,0.17367462696005131
pdwrk,rtrd,0.17365340071773666
maritalb,hincfel,0.17360788917864872
eiscedp,mainact,0.17357342601438472
stfgov,freehms,0.17351334888403477
jbspv,dscretn,0.17345265361277498
dvrcdeva,rtrd,0.17339548252970222
hincsrca,crpdwk,0.17338510720326675
chldhhe,mnactic,0.1733582758761883
emplrel,maritalb,0.17335520732079485
maritalb,chldhhe,0.1733096420833192
trstep,imbgeco,0.17329807920160123
dscroth,mainact,0.17329754525958785
wkdcorga,atncrse,0.17313528805082135
eisced,dscrdsb,0.17313265280075063
aesfdrk,mnactp,0.17286968773240857
trstep,stflife,0.17279407685219536
edulvlb,occm14b,0.1727567378928525
emprf14,stfgov,0.17268761785421094
dsbld,trstprt,0.17251837062535508
nacer2,crmvct,0.1724858842090823
dscrrce,mainact,0.17239271733158382
aesfdrk,dscrrce,0.17235577438232808
crpdwk,mnactic,0.17224273560694284
edulvlfb,dscrrlg,0.17221352715686195
crpdwkp,hincfel,0.17220777814584864
hinctnta,trstprl,0.17219067252186904
occf14b,wkdcorga,0.17216876999607594
freehms,dngothp,0.17214944530016713
clsprty,eiscedf,0.17207670014256826
emprf14,stfhlth,0.1719705927267886
